Address,Price,Link,Bedrooms,Bathrooms,SQFT
"12 Buttonwood Path, Smithtown, NY 11787","$949,999",https://www.zillow.com/homedetails/12-Buttonwood-Path-Smithtown-NY-11787/142461938_zpid/,4,4,"2,001"
"106 Redan Drive, Smithtown, NY 11787","$990,000",https://www.zillow.com/homedetails/106-Redan-Dr-Smithtown-NY-11787/59667287_zpid/,4,3,
"1 Grand Street, Smithtown, NY 11787","$668,000",https://www.zillow.com/homedetails/1-Grand-St-Smithtown-NY-11787/32689178_zpid/,4,2,
"47 Holly Drive, Smithtown, NY 11787","$624,900",https://www.zillow.com/homedetails/47-Holly-Dr-Smithtown-NY-11787/32708537_zpid/,4,2,
"746 N Cherokee Ave, Los Angeles, CA 90038","$2,195,000",https://www.zillow.com/homedetails/746-N-Cherokee-Ave-Los-Angeles-CA-90038/20783536_zpid/,4,3,"1,633"
"6732 W Hepburn Way, Los Angeles, CA 90038","$1,695,000",https://www.zillow.com/homedetails/6732-W-Hepburn-Way-Los-Angeles-CA-90038/243990629_zpid/,3,4,"2,346"
"828 N Hudson Ave APT 106, Los Angeles, CA 90038","$749,000",https://www.zillow.com/homedetails/828-N-Hudson-Ave-APT-106-Los-Angeles-CA-90038/20789270_zpid/,2,2,"1,010"
"6519 1/2 La Mirada Ave, Los Angeles, CA 90038","$1,049,000",https://www.zillow.com/homedetails/6519-1-2-La-Mirada-Ave-Los-Angeles-CA-90038/119676531_zpid/,3,3,"1,736"
"707 N McCadden Pl, Los Angeles, CA 90038","$1,995,000",https://www.zillow.com/homedetails/707-N-McCadden-Pl-Los-Angeles-CA-90038/20783599_zpid/,3,3,"2,007"
"1238 N Cahuenga Blvd #1/8, Los Angeles, CA 90038","$599,000",https://www.zillow.com/homedetails/1238-N-Cahuenga-Blvd-1-8-Los-Angeles-CA-90038/2053094220_zpid/,1,1,518
"971 N Saint Andrews Pl, Los Angeles, CA 90038","$1,149,000",https://www.zillow.com/homedetails/971-N-Saint-Andrews-Pl-Los-Angeles-CA-90038/20789679_zpid/,3,2,"2,245"
"859 N Mansfield Ave, Los Angeles, CA 90038","$1,749,000",https://www.zillow.com/homedetails/859-N-Mansfield-Ave-Los-Angeles-CA-90038/20783405_zpid/,5,5,"2,334"
"6521 La Mirada Ave, Los Angeles, CA 90038","$1,219,000",https://www.zillow.com/homedetails/6521-La-Mirada-Ave-Los-Angeles-CA-90038/119677284_zpid/,3,3,"1,900"
"918 1/2 N Ridgewood Pl, Los Angeles, CA 90038","$1,299,000",https://www.zillow.com/homedetails/918-1-2-N-Ridgewood-Pl-Los-Angeles-CA-90038/2054527572_zpid/,3,4,"2,353"
"758 N Cherokee Ave, Los Angeles, CA 90038","$1,199,000",https://www.zillow.com/homedetails/758-N-Cherokee-Ave-Los-Angeles-CA-90038/20783538_zpid/,3,2,"1,650"
"6015 W Beachwood Ln, Los Angeles, CA 90038","$1,249,000",https://www.zillow.com/homedetails/6015-W-Beachwood-Ln-Los-Angeles-CA-90038/295169731_zpid/,3,4,"1,866"
"5342 Lemon Grove Ave, Los Angeles, CA 90038","$1,299,000",https://www.zillow.com/homedetails/5342-Lemon-Grove-Ave-Los-Angeles-CA-90038/20789747_zpid/,5,3,"1,876"
"6728 W Hepburn Way, Los Angeles, CA 90038","$1,675,000",https://www.zillow.com/homedetails/6728-W-Hepburn-Way-Los-Angeles-CA-90038/122562925_zpid/,3,4,"2,346"
"1203 N Garbo Ln, Los Angeles, CA 90038","$1,450,000",https://www.zillow.com/homedetails/1203-N-Garbo-Ln-Los-Angeles-CA-90038/119677184_zpid/,3,4,"2,345"
"5633 La Mirada Ave, Los Angeles, CA 90038","$1,700,000",https://www.zillow.com/homedetails/5633-La-Mirada-Ave-Los-Angeles-CA-90038/20790034_zpid/,9,6,"3,884"
"6136 1/2 Lexington Ave, Los Angeles, CA 90038","$1,649,000",https://www.zillow.com/homedetails/6136-1-2-Lexington-Ave-Los-Angeles-CA-90038/2075914736_zpid/,3,4,"2,483"
"827 N McCadden Pl, Los Angeles, CA 90038","$1,638,000",https://www.zillow.com/homedetails/827-N-McCadden-Pl-Los-Angeles-CA-90038/250337385_zpid/,6,6,"3,247"
"6222 Banner Ave, Los Angeles, CA 90038","$3,795,000",https://www.zillow.com/homedetails/6222-Banner-Ave-Los-Angeles-CA-90038/20789381_zpid/,14,14,"6,640"
"1242 Gordon St, Los Angeles, CA 90038","$1,169,000",https://www.zillow.com/homedetails/1242-Gordon-St-Los-Angeles-CA-90038/20789432_zpid/,3,4,"1,956"
"848 N Las Palmas Ave, Los Angeles, CA 90038","$3,150,000",https://www.zillow.com/homedetails/848-N-Las-Palmas-Ave-Los-Angeles-CA-90038/20783485_zpid/,6,7,"3,474"
"847 N Cherokee Ave, Los Angeles, CA 90038","$1,350,000",https://www.zillow.com/homedetails/847-N-Cherokee-Ave-Los-Angeles-CA-90038/20783473_zpid/,2,2,"1,412"
"5700 La Mirada Ave, Los Angeles, CA 90038","$2,890,000",https://www.zillow.com/homedetails/5700-La-Mirada-Ave-Los-Angeles-CA-90038/250337576_zpid/,14,14,"8,445"
"746 N Ridgewood Pl, Los Angeles, CA 90038","$3,600,000",https://www.zillow.com/homedetails/746-N-Ridgewood-Pl-Los-Angeles-CA-90038/20789633_zpid/,12,12,"5,708"
"6708 Willoughby Ave, Los Angeles, CA 90038","$3,999,999",https://www.zillow.com/homedetails/6708-Willoughby-Ave-Los-Angeles-CA-90038/2083996697_zpid/,10,9,"8,784"
"1215 N Sycamore Ave, Los Angeles, CA 90038","$12,300,000",https://www.zillow.com/homedetails/1215-N-Sycamore-Ave-Los-Angeles-CA-90038/2100603031_zpid/,47,43,"27,640"
"5418 Lemon Grove Ave, Los Angeles, CA 90038","$1,895,000",https://www.zillow.com/homedetails/5418-Lemon-Grove-Ave-Los-Angeles-CA-90038/250337552_zpid/,9,9,"4,681"
"806 N Citrus Ave, Los Angeles, CA 90038","$1,850,000",https://www.zillow.com/homedetails/806-N-Citrus-Ave-Los-Angeles-CA-90038/20783441_zpid/,5,3,"2,373"
"1129 Lodi Pl, Los Angeles, CA 90038","$3,100,000",https://www.zillow.com/homedetails/1129-Lodi-Pl-Los-Angeles-CA-90038/2053894150_zpid/,10,12,"5,212"
"5500 Barton Ave, Los Angeles, CA 90038","$1,895,000",https://www.zillow.com/homedetails/5500-Barton-Ave-Los-Angeles-CA-90038/250337548_zpid/,6,5,"2,816"
"5415 Monroe St, Los Angeles, CA 90038","$1,199,000",https://www.zillow.com/homedetails/5415-Monroe-St-Los-Angeles-CA-90038/20789721_zpid/,3,2,"1,855"
"1042 Wilcox Ave, Los Angeles, CA 90038","$5,300,000",https://www.zillow.com/homedetails/1042-Wilcox-Ave-Los-Angeles-CA-90038/347438562_zpid/,38,38,"9,880"
